id,key,value,type
151363384,population,107,regular
151363384,street,Selak Street,addr
151363384,gnis:County,Gilpin,regular
151363384,gnis:ST_num,08,regular
151363384,import_uuid,bb7269ee-502a-5391-8056-e3ce0e66489c,regular
151363384,gnis:ST_alpha,CO,regular
151363384,gnis:County_num,047,regular
151363384,housenumber,201,addr
151363384,population,107;2006,census
151373136,ele,1449,regular
151373136,name,Gilcrest,regular
151373136,is_in,"Weld,Colorado,Colo.,CO,USA",regular
151373136,place,village,regular
151373136,id,204696,gnis
151373136,gnis:Class,Populated Place,regular
151373136,population,1139,regular
151373136,gnis:County,Weld,regular
151373136,gnis:ST_num,08,regular
151373136,import_uuid,bb7269ee-502a-5391-8056-e3ce0e66489c,regular
151373136,gnis:ST_alpha,CO,regular
151373136,gnis:County_num,123,regular
151373136,population,1139;2006,census
151399719,ele,1601,regular
151399719,name,Western Hills,regular
151399719,is_in,"Adams,Colorado,Colo.,CO,USA",regular
151399719,place,hamlet,regular
151399719,id,184679,gnis
151399719,gnis:Class,Populated Place,regular
151399719,gnis:County,Adams,regular
151399719,gnis:ST_num,08,regular
151399719,import_uuid,bb7269ee-502a-5391-8056-e3ce0e66489c,regular
151399719,gnis:ST_alpha,CO,regular
151399719,gnis:County_num,001,regular
151408645,ele,2441,regular
151408645,gnis:Class,Populated Place,regular
151408645,gnis:County,Gilpin,regular
151408645,gnis:County_num,047,regular
151408645,id,181137,gnis
151408645,gnis:ST_alpha,CO,regular
151408645,gnis:ST_num,08,regular
151408645,import_uuid,bb7269ee-502a-5391-8056-e3ce0e66489c,regular
151408645,is_in,"Gilpin,Colorado,Colo.,CO,USA",regular
151408645,name,Pinecliffe,regular
151408645,place,hamlet,regular
151408645,wikidata,Q3475741,regular
151422389,ele,1881,regular
151422389,name,Rocky,regular
151422389,is_in,"Jefferson,Colorado,Colo.,CO,USA",regular
151422389,place,hamlet,regular
151422389,id,202830,gnis
151422389,gnis:Class,Populated Place,regular
151422389,gnis:County,Jefferson,regular
151422389,gnis:ST_num,08,regular
151422389,import_uuid,bb7269ee-502a-5391-8056-e3ce0e66489c,regular
151422389,gnis:ST_alpha,CO,regular
151422389,gnis:County_num,059,regular
151435127,ele,1558,regular
151435127,name,Barr Lake,regular
151435127,is_in,"Adams,Colorado,Colo.,CO,USA",regular
151435127,place,hamlet,regular
151435127,id,184609,gnis
151435127,gnis:Class,Populated Place,regular
151435127,gnis:County,Adams,regular
151435127,gnis:ST_num,08,regular
151435127,import_uuid,bb7269ee-502a-5391-8056-e3ce0e66489c,regular
151435127,gnis:ST_alpha,CO,regular
151435127,gnis:County_num,001,regular
151452779,ele,2552,regular
151452779,name,Will-O-The-Wisp,regular
151452779,is_in,"Park,Colorado,Colo.,CO,USA",regular
151452779,place,neighbourhood,regular
151452779,id,183256,gnis
151452779,gnis:Class,Populated Place,regular
151452779,gnis:County,Park,regular
151452779,gnis:ST_num,08,regular
151452779,import_uuid,bb7269ee-502a-5391-8056-e3ce0e66489c,regular
151452779,gnis:ST_alpha,CO,regular
151452779,gnis:County_num,093,regular
151475712,ele,1499,regular
151475712,name,Bunyan,regular
151475712,is_in,"Weld,Colorado,Colo.,CO,USA",regular
151475712,place,hamlet,regular
151475712,id,180692,gnis
151475712,gnis:Class,Populated Place,regular
151475712,gnis:County,Weld,regular
151475712,gnis:ST_num,08,regular
151475712,import_uuid,bb7269ee-502a-5391-8056-e3ce0e66489c,regular
151475712,gnis:ST_alpha,CO,regular
151475712,gnis:County_num,123,regular
151492217,ele,1460,regular
151492217,name,Krauss,regular
151492217,is_in,"Weld,Colorado,Colo.,CO,USA",regular
151492217,place,hamlet,regular
151492217,id,180896,gnis
151492217,gnis:Class,Populated Place,regular
151492217,gnis:County,Weld,regular
151492217,gnis:ST_num,08,regular
